"","controller","condition","item","accuracy","rt","subject","group"
"28","PictureAccept",-0.5,2,0,2401,"Native 1","Native"
"44","PictureAccept",-0.5,10,1,2273,"Native 1","Native"
"76","PictureAccept",-0.5,12,1,2502,"Native 1","Native"
"84","PictureAccept",-0.5,8,1,2667,"Native 1","Native"
"92","PictureAccept",-0.5,4,1,1857,"Native 1","Native"
"132","PictureAccept",-0.5,1,1,2394,"Native 1","Native"
"148","PictureAccept",-0.5,3,1,1593,"Native 1","Native"
"152","PictureAccept",-0.5,9,0,3146,"Native 1","Native"
"160","PictureAccept",-0.5,6,1,1594,"Native 1","Native"
"164","PictureAccept",-0.5,5,1,1690,"Native 1","Native"
"168","PictureAccept",-0.5,7,1,2364,"Native 1","Native"
"184","PictureAccept",-0.5,11,1,1249,"Native 1","Native"
"240","PictureAccept",-0.5,9,1,2130,"Native 2","Native"
"252","PictureAccept",-0.5,7,1,5141,"Native 2","Native"
"256","PictureAccept",-0.5,5,1,1906,"Native 2","Native"
"300","PictureAccept",-0.5,8,1,8563,"Native 2","Native"
"320","PictureAccept",-0.5,10,1,3326,"Native 2","Native"
"332","PictureAccept",-0.5,1,1,4714,"Native 2","Native"
"344","PictureAccept",-0.5,12,0,1670,"Native 2","Native"
"368","PictureAccept",-0.5,2,1,2325,"Native 2","Native"
"392","PictureAccept",-0.5,11,1,1854,"Native 2","Native"
"396","PictureAccept",-0.5,6,1,1507,"Native 2","Native"
"432","PictureAccept",-0.5,4,1,3703,"Native 2","Native"
"448","PictureAccept",-0.5,3,1,928,"Native 2","Native"
"460","PictureAccept",-0.5,8,1,1970,"Native 3","Native"
"472","PictureAccept",-0.5,3,1,3219,"Native 3","Native"
"492","PictureAccept",-0.5,9,0,2915,"Native 3","Native"
"520","PictureAccept",-0.5,12,1,1652,"Native 3","Native"
"560","PictureAccept",-0.5,2,1,2112,"Native 3","Native"
"572","PictureAccept",-0.5,1,1,2168,"Native 3","Native"
"576","PictureAccept",-0.5,4,1,1491,"Native 3","Native"
"592","PictureAccept",-0.5,6,1,2093,"Native 3","Native"
"600","PictureAccept",-0.5,11,1,1350,"Native 3","Native"
"616","PictureAccept",-0.5,10,1,1766,"Native 3","Native"
"620","PictureAccept",-0.5,7,1,1970,"Native 3","Native"
"668","PictureAccept",-0.5,5,1,1440,"Native 3","Native"
"696","PictureAccept",-0.5,12,0,1137,"Native 4","Native"
"716","PictureAccept",-0.5,10,1,718,"Native 4","Native"
"724","PictureAccept",-0.5,2,0,1475,"Native 4","Native"
"744","PictureAccept",-0.5,4,1,1347,"Native 4","Native"
"764","PictureAccept",-0.5,5,1,751,"Native 4","Native"
"768","PictureAccept",-0.5,11,1,1367,"Native 4","Native"
"772","PictureAccept",-0.5,6,0,1402,"Native 4","Native"
"804","PictureAccept",-0.5,7,0,1532,"Native 4","Native"
"828","PictureAccept",-0.5,3,1,2186,"Native 4","Native"
"844","PictureAccept",-0.5,9,1,1207,"Native 4","Native"
"856","PictureAccept",-0.5,8,1,1122,"Native 4","Native"
"880","PictureAccept",-0.5,1,1,858,"Native 4","Native"
"936","PictureAccept",-0.5,10,0,3164,"Native 5","Native"
"968","PictureAccept",-0.5,1,0,2565,"Native 5","Native"
"984","PictureAccept",-0.5,11,1,2784,"Native 5","Native"
"992","PictureAccept",-0.5,9,1,3920,"Native 5","Native"
"1000","PictureAccept",-0.5,8,0,7518,"Native 5","Native"
"1036","PictureAccept",-0.5,5,1,3015,"Native 5","Native"
"1044","PictureAccept",-0.5,12,1,2174,"Native 5","Native"
