"","controller","condition","item","rt","NA","subject","group"
"1445","DashedSentence",0.5,7,6634,"FALSE","Native 7",-0.5
"1481","DashedSentence",-0.5,6,4682,"FALSE","Native 7",-0.5
"1521","DashedSentence",0.5,9,4526,"FALSE","Native 7",-0.5
"1533","DashedSentence",-0.5,4,4812,"FALSE","Native 7",-0.5
"1553","DashedSentence",-0.5,10,3286,"FALSE","Native 7",-0.5
"1557","DashedSentence",-0.5,2,3256,"FALSE","Native 7",-0.5
"1561","DashedSentence",-0.5,12,3360,"FALSE","Native 7",-0.5
"1581","DashedSentence",0.5,12,12216,"FALSE","Native 8",-0.5
"1597","DashedSentence",-0.5,9,5999,"FALSE","Native 8",-0.5
"1613","DashedSentence",-0.5,7,9816,"FALSE","Native 8",-0.5
"1621","DashedSentence",0.5,8,4540,"FALSE","Native 8",-0.5
"1673","DashedSentence",-0.5,3,4058,"FALSE","Native 8",-0.5
"1681","DashedSentence",0.5,4,5881,"FALSE","Native 8",-0.5
"1697","DashedSentence",0.5,2,5070,"FALSE","Native 8",-0.5
"1717","DashedSentence",-0.5,5,3473,"FALSE","Native 8",-0.5
"1729","DashedSentence",-0.5,11,5177,"FALSE","Native 8",-0.5
"1761","DashedSentence",0.5,10,5607,"FALSE","Native 8",-0.5
"1769","DashedSentence",-0.5,1,3586,"FALSE","Native 8",-0.5
"1777","DashedSentence",0.5,6,3393,"FALSE","Native 8",-0.5
"1801","DashedSentence",0.5,9,4598,"FALSE","Native 9",-0.5
"1805","DashedSentence",0.5,1,7705,"FALSE","Native 9",-0.5
"1833","DashedSentence",-0.5,10,6393,"FALSE","Native 9",-0.5
"1837","DashedSentence",-0.5,6,3574,"FALSE","Native 9",-0.5
"1853","DashedSentence",0.5,7,3748,"FALSE","Native 9",-0.5
"1877","DashedSentence",-0.5,2,2952,"FALSE","Native 9",-0.5
"1905","DashedSentence",0.5,11,2982,"FALSE","Native 9",-0.5
"1929","DashedSentence",-0.5,4,2738,"FALSE","Native 9",-0.5
"1941","DashedSentence",-0.5,12,2899,"FALSE","Native 9",-0.5
"1957","DashedSentence",0.5,5,1950,"FALSE","Native 9",-0.5
"1961","DashedSentence",-0.5,8,1836,"FALSE","Native 9",-0.5
"2013","DashedSentence",0.5,3,3339,"FALSE","Native 9",-0.5
"2039","DashedSentence",-0.5,9,7602,"FALSE","Native 10",-0.5
"2047","DashedSentence",0.5,4,10949,"FALSE","Native 10",-0.5
"2091","DashedSentence",0.5,6,6313,"FALSE","Native 10",-0.5
"2111","DashedSentence",0.5,10,8632,"FALSE","Native 10",-0.5
"2127","DashedSentence",0.5,8,6326,"FALSE","Native 10",-0.5
"2135","DashedSentence",-0.5,1,4338,"FALSE","Native 10",-0.5
"2139","DashedSentence",-0.5,3,5431,"FALSE","Native 10",-0.5
"2147","DashedSentence",-0.5,11,4384,"FALSE","Native 10",-0.5
"2171","DashedSentence",-0.5,7,6169,"FALSE","Native 10",-0.5
"2179","DashedSentence",0.5,12,4589,"FALSE","Native 10",-0.5
"2195","DashedSentence",0.5,2,8663,"FALSE","Native 10",-0.5
"2223","DashedSentence",-0.5,5,4679,"FALSE","Native 10",-0.5
"2251","DashedSentence",-0.5,2,14807,"FALSE","Native 11",-0.5
"2307","DashedSentence",-0.5,6,5138,"FALSE","Native 11",-0.5
"2315","DashedSentence",0.5,7,8389,"FALSE","Native 11",-0.5
"2331","DashedSentence",0.5,1,6280,"FALSE","Native 11",-0.5
"2339","DashedSentence",0.5,11,3832,"FALSE","Native 11",-0.5
"2347","DashedSentence",0.5,5,8925,"FALSE","Native 11",-0.5
"2367","DashedSentence",0.5,3,5290,"FALSE","Native 11",-0.5
"2387","DashedSentence",-0.5,8,3621,"FALSE","Native 11",-0.5
"2403","DashedSentence",-0.5,10,5475,"FALSE","Native 11",-0.5
"2423","DashedSentence",0.5,9,7816,"FALSE","Native 11",-0.5
"2443","DashedSentence",-0.5,12,7983,"FALSE","Native 11",-0.5
"2451","DashedSentence",-0.5,4,5310,"FALSE","Native 11",-0.5
"2487","DashedSentence",0.5,2,8576,"FALSE","Native 12",-0.5
"2503","DashedSentence",-0.5,3,6747,"FALSE","Native 12",-0.5
"2531","DashedSentence",-0.5,1,6590,"FALSE","Native 12",-0.5
"2535","DashedSentence",0.5,8,6209,"FALSE","Native 12",-0.5
"2547","DashedSentence",0.5,12,6389,"FALSE","Native 12",-0.5
"2551","DashedSentence",0.5,4,5758,"FALSE","Native 12",-0.5
"2579","DashedSentence",0.5,10,5477,"FALSE","Native 12",-0.5
"2583","DashedSentence",-0.5,9,5668,"FALSE","Native 12",-0.5
"2603","DashedSentence",0.5,6,7641,"FALSE","Native 12",-0.5
"2611","DashedSentence",-0.5,5,7842,"FALSE","Native 12",-0.5
"2675","DashedSentence",-0.5,11,4374,"FALSE","Native 12",-0.5
"2683","DashedSentence",-0.5,7,4932,"FALSE","Native 12",-0.5
"2697","DashedSentence",0.5,1,7163,"FALSE","Native 13",-0.5
"2717","DashedSentence",-0.5,6,3054,"FALSE","Native 13",-0.5
"2741","DashedSentence",0.5,7,4065,"FALSE","Native 13",-0.5
"2757","DashedSentence",-0.5,4,4040,"FALSE","Native 13",-0.5
"2785","DashedSentence",0.5,11,2545,"FALSE","Native 13",-0.5
"2841","DashedSentence",0.5,5,2787,"FALSE","Native 13",-0.5
