"","controller","condition","item","rt","NA","subject","group"
"719","DashedSentence",-0.5,"3",3133,"FALSE","Native 4","Native"
"727","DashedSentence",-0.5,"10",3942,"FALSE","Native 4","Native"
"747","DashedSentence",-0.5,"4",3090,"FALSE","Native 4","Native"
"759","DashedSentence",-0.5,"2",2473,"FALSE","Native 4","Native"
"775","DashedSentence",-0.5,"11",2664,"FALSE","Native 4","Native"
"783","DashedSentence",-0.5,"14",3002,"FALSE","Native 4","Native"
"787","DashedSentence",-0.5,"6",1308,"FALSE","Native 4","Native"
"791","DashedSentence",-0.5,"20",2986,"FALSE","Native 4","Native"
"795","DashedSentence",-0.5,"19",2188,"FALSE","Native 4","Native"
"799","DashedSentence",-0.5,"9",2267,"FALSE","Native 4","Native"
"807","DashedSentence",-0.5,"16",3278,"FALSE","Native 4","Native"
"811","DashedSentence",-0.5,"18",2807,"FALSE","Native 4","Native"
"819","DashedSentence",-0.5,"5",1729,"FALSE","Native 4","Native"
"839","DashedSentence",-0.5,"22",2137,"FALSE","Native 4","Native"
"847","DashedSentence",-0.5,"1",1649,"FALSE","Native 4","Native"
"851","DashedSentence",-0.5,"7",2301,"FALSE","Native 4","Native"
"863","DashedSentence",-0.5,"15",3704,"FALSE","Native 4","Native"
"871","DashedSentence",-0.5,"13",2362,"FALSE","Native 4","Native"
"875","DashedSentence",-0.5,"12",2335,"FALSE","Native 4","Native"
"915","DashedSentence",-0.5,"14",4302,"FALSE","Native 5","Native"
"923","DashedSentence",-0.5,"15",4716,"FALSE","Native 5","Native"
"927","DashedSentence",-0.5,"23",3709,"FALSE","Native 5","Native"
"931","DashedSentence",-0.5,"22",2819,"FALSE","Native 5","Native"
"943","DashedSentence",-0.5,"24",3768,"FALSE","Native 5","Native"
"951","DashedSentence",-0.5,"19",3243,"FALSE","Native 5","Native"
"955","DashedSentence",-0.5,"3",4582,"FALSE","Native 5","Native"
"959","DashedSentence",-0.5,"12",3674,"FALSE","Native 5","Native"
"963","DashedSentence",-0.5,"13",6551,"FALSE","Native 5","Native"
"987","DashedSentence",-0.5,"9",3446,"FALSE","Native 5","Native"
"995","DashedSentence",-0.5,"2",3111,"FALSE","Native 5","Native"
"1015","DashedSentence",-0.5,"8",4134,"FALSE","Native 5","Native"
"1027","DashedSentence",-0.5,"5",2344,"FALSE","Native 5","Native"
"1031","DashedSentence",-0.5,"11",4889,"FALSE","Native 5","Native"
"1047","DashedSentence",-0.5,"1",2767,"FALSE","Native 5","Native"
"1051","DashedSentence",-0.5,"6",2879,"FALSE","Native 5","Native"
"1055","DashedSentence",-0.5,"18",2660,"FALSE","Native 5","Native"
"1063","DashedSentence",-0.5,"17",6413,"FALSE","Native 5","Native"
"1067","DashedSentence",-0.5,"20",3292,"FALSE","Native 5","Native"
"1071","DashedSentence",-0.5,"4",2098,"FALSE","Native 5","Native"
"1087","DashedSentence",-0.5,"10",3044,"FALSE","Native 5","Native"
"1095","DashedSentence",-0.5,"7",7072,"FALSE","Native 5","Native"
"1099","DashedSentence",-0.5,"16",2075,"FALSE","Native 5","Native"
"1103","DashedSentence",-0.5,"21",5357,"FALSE","Native 5","Native"
