"","controller","condition","item","accuracy","rt","subject","group"
"12","PictureAccept",-0.5,17,1,1476,"Native 1","Native"
"20","PictureAccept",-0.5,13,0,2984,"Native 1","Native"
"32","PictureAccept",-0.5,4,1,2039,"Native 1","Native"
"36","PictureAccept",-0.5,11,1,2446,"Native 1","Native"
"80","PictureAccept",-0.5,2,1,2503,"Native 1","Native"
"96","PictureAccept",-0.5,10,0,4702,"Native 1","Native"
"104","PictureAccept",-0.5,16,0,1578,"Native 1","Native"
"116","PictureAccept",-0.5,7,0,2354,"Native 1","Native"
"144","PictureAccept",-0.5,1,1,1425,"Native 1","Native"
"204","PictureAccept",-0.5,8,1,1786,"Native 1","Native"
"208","PictureAccept",-0.5,14,1,1961,"Native 1","Native"
"212","PictureAccept",-0.5,5,1,1362,"Native 1","Native"
"244","PictureAccept",-0.5,15,0,8773,"Native 2","Native"
"268","PictureAccept",-0.5,3,0,1875,"Native 2","Native"
"284","PictureAccept",-0.5,10,1,3389,"Native 2","Native"
"288","PictureAccept",-0.5,1,1,5060,"Native 2","Native"
"292","PictureAccept",-0.5,18,0,2659,"Native 2","Native"
"324","PictureAccept",-0.5,12,1,1932,"Native 2","Native"
"340","PictureAccept",-0.5,7,1,3006,"Native 2","Native"
"356","PictureAccept",-0.5,9,1,1648,"Native 2","Native"
"372","PictureAccept",-0.5,4,1,3202,"Native 2","Native"
"380","PictureAccept",-0.5,6,0,2345,"Native 2","Native"
"408","PictureAccept",-0.5,13,1,3022,"Native 2","Native"
"436","PictureAccept",-0.5,16,1,2808,"Native 2","Native"
"488","PictureAccept",-0.5,3,1,1881,"Native 3","Native"
"496","PictureAccept",-0.5,5,1,1501,"Native 3","Native"
"504","PictureAccept",-0.5,11,1,2324,"Native 3","Native"
"524","PictureAccept",-0.5,18,1,3751,"Native 3","Native"
"532","PictureAccept",-0.5,8,1,1994,"Native 3","Native"
"564","PictureAccept",-0.5,12,1,2430,"Native 3","Native"
"588","PictureAccept",-0.5,14,1,2168,"Native 3","Native"
"604","PictureAccept",-0.5,17,1,1839,"Native 3","Native"
"640","PictureAccept",-0.5,6,1,2399,"Native 3","Native"
"648","PictureAccept",-0.5,9,1,1440,"Native 3","Native"
"664","PictureAccept",-0.5,15,0,6644,"Native 3","Native"
"672","PictureAccept",-0.5,2,1,1723,"Native 3","Native"
"688","PictureAccept",-0.5,14,0,791,"Native 4","Native"
"732","PictureAccept",-0.5,17,0,1430,"Native 4","Native"
"736","PictureAccept",-0.5,11,0,958,"Native 4","Native"
"752","PictureAccept",-0.5,2,1,843,"Native 4","Native"
"756","PictureAccept",-0.5,8,0,964,"Native 4","Native"
"780","PictureAccept",-0.5,5,0,992,"Native 4","Native"
"816","PictureAccept",-0.5,1,1,884,"Native 4","Native"
"824","PictureAccept",-0.5,4,1,1409,"Native 4","Native"
"836","PictureAccept",-0.5,10,0,1282,"Native 4","Native"
"860","PictureAccept",-0.5,7,0,1662,"Native 4","Native"
"884","PictureAccept",-0.5,13,0,943,"Native 4","Native"
"892","PictureAccept",-0.5,16,0,3044,"Native 4","Native"
"908","PictureAccept",-0.5,6,1,2046,"Native 5","Native"
"912","PictureAccept",-0.5,16,0,2744,"Native 5","Native"
"940","PictureAccept",-0.5,15,0,2656,"Native 5","Native"
"972","PictureAccept",-0.5,12,1,1143,"Native 5","Native"
"980","PictureAccept",-0.5,3,1,1908,"Native 5","Native"
"1008","PictureAccept",-0.5,9,1,1112,"Native 5","Native"
"1020","PictureAccept",-0.5,7,1,1205,"Native 5","Native"
"1024","PictureAccept",-0.5,18,1,1557,"Native 5","Native"
"1080","PictureAccept",-0.5,1,1,2002,"Native 5","Native"
"1084","PictureAccept",-0.5,13,1,1360,"Native 5","Native"
"1112","PictureAccept",-0.5,4,1,1000,"Native 5","Native"
"1116","PictureAccept",-0.5,10,1,1114,"Native 5","Native"
"1132","PictureAccept",-0.5,11,0,1433,"Native 6","Native"
"1136","PictureAccept",-0.5,6,1,1203,"Native 6","Native"
"1196","PictureAccept",-0.5,5,1,1390,"Native 6","Native"
"1200","PictureAccept",-0.5,9,1,1199,"Native 6","Native"
"1220","PictureAccept",-0.5,18,0,1278,"Native 6","Native"
"1236","PictureAccept",-0.5,3,0,1201,"Native 6","Native"
"1244","PictureAccept",-0.5,12,0,993,"Native 6","Native"
"1252","PictureAccept",-0.5,17,1,946,"Native 6","Native"
"1256","PictureAccept",-0.5,15,0,1182,"Native 6","Native"
"1300","PictureAccept",-0.5,14,1,1006,"Native 6","Native"
"1312","PictureAccept",-0.5,2,0,1161,"Native 6","Native"
"1340","PictureAccept",-0.5,8,1,1223,"Native 6","Native"
"1358","PictureAccept",-0.5,4,1,2590,"Native 7","Native"
"1362","PictureAccept",-0.5,16,1,1536,"Native 7","Native"
"1414","PictureAccept",-0.5,13,0,3389,"Native 7","Native"
"1418","PictureAccept",-0.5,8,1,1240,"Native 7","Native"
"1422","PictureAccept",-0.5,7,1,1638,"Native 7","Native"
"1454","PictureAccept",-0.5,17,0,3839,"Native 7","Native"
"1490","PictureAccept",-0.5,11,0,1554,"Native 7","Native"
"1498","PictureAccept",-0.5,2,1,1308,"Native 7","Native"
"1510","PictureAccept",-0.5,1,1,3618,"Native 7","Native"
"1518","PictureAccept",-0.5,14,0,3862,"Native 7","Native"
"1530","PictureAccept",-0.5,10,1,1411,"Native 7","Native"
"1546","PictureAccept",-0.5,5,1,1115,"Native 7","Native"
"1586","PictureAccept",-0.5,13,1,3778,"Native 8","Native"
"1602","PictureAccept",-0.5,18,0,1573,"Native 8","Native"
"1606","PictureAccept",-0.5,16,0,2012,"Native 8","Native"
"1618","PictureAccept",-0.5,1,1,3506,"Native 8","Native"
"1650","PictureAccept",-0.5,6,0,2566,"Native 8","Native"
"1654","PictureAccept",-0.5,7,1,2240,"Native 8","Native"
"1678","PictureAccept",-0.5,4,0,3006,"Native 8","Native"
"1694","PictureAccept",-0.5,12,1,3070,"Native 8","Native"
"1706","PictureAccept",-0.5,15,0,4807,"Native 8","Native"
"1742","PictureAccept",-0.5,9,1,1444,"Native 8","Native"
"1758","PictureAccept",-0.5,10,1,2566,"Native 8","Native"
"1766","PictureAccept",-0.5,3,1,1785,"Native 8","Native"
"1814","PictureAccept",-0.5,8,1,1236,"Native 9","Native"
"1822","PictureAccept",-0.5,12,1,1423,"Native 9","Native"
"1866","PictureAccept",-0.5,2,1,1102,"Native 9","Native"
"1874","PictureAccept",-0.5,6,1,1255,"Native 9","Native"
"1898","PictureAccept",-0.5,17,0,1070,"Native 9","Native"
"1914","PictureAccept",-0.5,14,1,1081,"Native 9","Native"
"1950","PictureAccept",-0.5,18,1,1727,"Native 9","Native"
"1954","PictureAccept",-0.5,5,1,1012,"Native 9","Native"
"1978","PictureAccept",-0.5,3,1,748,"Native 9","Native"
