"","controller","condition","item","accuracy","rt","subject","group"
"52","PictureAccept",-0.5,"10",1,1728,"Native 1","Native"
"64","PictureAccept",-0.5,"22",1,2782,"Native 1","Native"
"72","PictureAccept",-0.5,"5",0,2760,"Native 1","Native"
"88","PictureAccept",-0.5,"21",1,3880,"Native 1","Native"
"124","PictureAccept",-0.5,"17",0,1833,"Native 1","Native"
"128","PictureAccept",-0.5,"1",1,2450,"Native 1","Native"
"172","PictureAccept",-0.5,"6",1,1388,"Native 1","Native"
"176","PictureAccept",-0.5,"14",1,2698,"Native 1","Native"
"188","PictureAccept",-0.5,"18",1,1640,"Native 1","Native"
"196","PictureAccept",-0.5,"13",1,2941,"Native 1","Native"
"220","PictureAccept",-0.5,"9",1,1254,"Native 1","Native"
"224","PictureAccept",-0.5,"2",1,1314,"Native 1","Native"
"236","PictureAccept",-0.5,"24",1,4604,"Native 2","Native"
"276","PictureAccept",-0.5,"9",1,5216,"Native 2","Native"
"296","PictureAccept",-0.5,"16",1,1685,"Native 2","Native"
"312","PictureAccept",-0.5,"21",1,3351,"Native 2","Native"
"328","PictureAccept",-0.5,"4",1,2731,"Native 2","Native"
"352","PictureAccept",-0.5,"12",1,2212,"Native 2","Native"
"376","PictureAccept",-0.5,"8",1,3036,"Native 2","Native"
"384","PictureAccept",-0.5,"1",1,2800,"Native 2","Native"
"400","PictureAccept",-0.5,"20",1,1305,"Native 2","Native"
"404","PictureAccept",-0.5,"13",1,1730,"Native 2","Native"
"416","PictureAccept",-0.5,"17",0,4989,"Native 2","Native"
"440","PictureAccept",-0.5,"5",1,1810,"Native 2","Native"
"468","PictureAccept",-0.5,"12",1,3493,"Native 3","Native"
"476","PictureAccept",-0.5,"11",1,2936,"Native 3","Native"
"484","PictureAccept",-0.5,"8",1,1911,"Native 3","Native"
"552","PictureAccept",-0.5,"23",1,2837,"Native 3","Native"
"568","PictureAccept",-0.5,"3",0,2973,"Native 3","Native"
"580","PictureAccept",-0.5,"24",1,1744,"Native 3","Native"
"584","PictureAccept",-0.5,"7",1,4294,"Native 3","Native"
"596","PictureAccept",-0.5,"16",1,1689,"Native 3","Native"
